,text
0,"Не могу напиться с неприятными людьми. Сколько ни пью - не напиваюсь. Они уже напились - а я никак. И чем больше пью, тем больше их понимаю. И чем больше понимаю, тем противней. Никогда не пейте с неприятными людьми. "
1,"За что ты полюбил меня, Маттео?Сначала я увидел вас на балконе. У вас был сонный вид, как будто вам все постыло. К этому времени как раз и мне все постыло. "
2,"Так и будешь таращиться? У тебя должны быть очи, подобные сияющим звездам! "
3,"Распоряжение Сталина: ""Картин должно быть мало, но только хорошие"". И картин стало мало, но только плохие. "
4,"Человек рождается жить, а не готовиться к жизни. "
5,"Девушка была неуемная, но предусмотрительная и хорошо знала, что можно, а чего нельзя. Тогда все девушки берегли свою девичью честь. Некоторые доберегли до конца. "
6,"С какой стати я обязан быть на него похожим! С меня достаточно, что я похож на самого себя. "
7,"До свидания, милый. Можно, я тебя поцелую? Маттео. Это лишнее. Пока. Никогда не давайте поцелуя без любви. А ведь вы меня еще не могли полюбить. "
8,"Зачем вы оправдываетесь? Я же не спрашиваю, кто к вам должен прийти. Поклонники, начинающие с того, что ревнуют, либо смешны, либо самоуверенны. "
9,"Но главное, чего я хочу — это служить вам. Для вас душа моя — воск, на котором вы можете запечатлеть все, что вам угодно. "
10,"Любопытно было бы услышать, с какими дамами еще был знаком ваш господин.Еще в него была влюблена девица Альтидисора. Тоже принцесса? Это была горничная, но ей едва стукнуло пятнадцать лет. Самая здоровая девушка во всем замке. Но при виде Дон Кихота ей сразу становилось дурно, и подругам…"
11,"Когда Марлен Дитрих, звезду мирового экрана, спросили: - Как вам удается не стареть? Она ответила: - Я хорошо сплю и никому не завидую. "
12,"Грех не случается, а совершается. В результате всего предыдущего, всей жизни твоей. "
13,У каждого есть право на собственное несчастье. 
14,"Как тебе тут живется? Сижу в трактире, как приманка для дроздов. Посетителям разрешается смотреть, как я перекладываю пищу из горшков в желудок. А тебе как тут живется? Просеиваю знатных сеньоров для будущей совместной жизни. "
15,Не является ли мое стремление к праведности лишь гордыней? 
16,Но он и слова мне не сказал! Потому что его чувство всегда было возвышенным и далее почтительных взглядов дело не заходило. 
17,"Иногда он забредал в наше Тобосо и тут влюбился в тебя за твою миловидность. Я не обращала на него никакого внимания. Ты не обращала на него внимания, но ты показалась ему достойной быть владычицей его помыслов. "
18,"Почему же, твой Дон-Кихот и на этот раз не пришел ко мне, когда я сама его позвала? Да потому, что по законам рыцарства, он сначала должен был выполнить свое обещание и спасти принцессу от великанов! А потом уж думать об удовольствиях! "
19,"Так что он там — женился, нет? Как же он мог жениться, если владычицей его души была Дульсинея! "
20,"Владычицей его души была несравненная Дульсинея. Но она как бы была, но в тоже время ее как бы и не было! Но он был верен ей и отвергал королев, императриц и всякого рода дам. Жених. Значит она как бы и была? Как бы и была. "
21,"Смиренный со смиренными, гордый с надменными, он смотрел опасности прямо в глаза. Он не унывал в бедах. Он был влюблен ни в кого. Мать. Вы изволили сказать, что он не был влюблен ни в кого? Он был влюблен ни в кого. Отец (Жениху). Понял? Жених. Не понял. Мать. Если можно, скажите еще раз, Санчо,…"
22,"Когда мы вступаем в отрицательные отношения с кем-либо, происходит обмен разрушительными энергиями. И мы выходим из этого более опустошенными, чем если бы досадовали в одиночку. "
23,"Как зависит дар художника от того, на какой максимум счастья он способен! У Шпаликова этот максимум счастья был высок. Соответственно, так же глубока и пропасть возможного отчаяния. "
24,У интеллигенции вместо идей и страстей - сплетни. Называется информация. 
25,"у нас были творческие дни, просмотры иностранных фильмов и Чехов, у которого мы учились. Но у него герои пили чай и незаметно погибали, а у нас герои пили чай и незаметно процветали. "
26,Ее знатность была видна на расстоянии арбалетного выстрела. 
27,"Мы знаем, что есть две сверхдержавы: Россия и Америка. А не вернее было бы считать, что есть, скажем, одна сверхдержава, например, Швейцария. Люди там живут хорошо и ни с кем не воюют. Простите, это к слову. "
28,"Бог мой! Приведи меня к чему-нибудь. К успокоению? К новой жизни? К единению с людьми? К преодолению пороков, слабостей моих? К смерти? "
29,"Как торопился отдавать! Чтобы не подумали, что жалею! "
30,"Как двойные звезды, жизнь и искусство соединены невидимой тканью. Если эту ткань попытаться растянуть, рано или поздно она все равно сократится, и искусство нанесет свой запоздалый и потому особенно жестокий удар. "
31,Понял слово смирение. Давно уже понял. Но то и дело забывается. 
32,"Все глупое, что было некогда сделано, - пустяки, казалось, потом идут с тобой за руку всю жизнь, убивают, не убивая до конца. "
33,"Театр Шекспира ""Глобус"" работал, по нашим понятиям, безответственно. Срепетировал спектакль за две недели, актеров забросали гнилыми яблоками. Они расстроились, выпили. Стали репетировать другой спектакль, опять же за две недели. "
34,"Товстоногов хотел умереть, как артист Бабочкин, в машине. Говорил так. И это было ему даровано. Успел подрулить к тротуару и притормозить. С такою же подробною точностью, какою он владел на сцене. Высшие силы позаботились о нем до конца. "
35,"Некогда были слова: ""звезды"", ""небо"", ""счастье"", ""самоубийство"". Теперь вместо них слова все простые, а тех - нет и в помине. "
36,"Как заразительна суетность, изощренная зависть, обезумевшая мелочность - это как болезнь, заразиться может любой. Ощущение единственности жизни незаразительно, как здоровье. "
37,"И война первых месяцев - с марсианами, в расчете на то, что гусеницы их танков пробуксуют на нашей крови. И госпиталь с палатой на пятьсот человек - кто мог, добирался, писал в ведро, которое стояло посередине. "
38,"Соблазны, конечно, внутри нас, но возможность этот соблазн осуществить - она только среди людей. "
39,"Нынешняя молодежь умнее ли нас, когда мы были молодыми? Да. Будет ли она счастливей нас? Не думаю. "
40,"Человек начинает жить своей единственной жизнью, совершенно, как ему кажется, не похожей на жизнь его родственников и на жизнь всех людей прежних времен. А потом оказывается, что он живет в периферийном городке, работает инкассатором в городском банке, и жена его - не лучшая из лучших, как мечталось. Трудно примириться со…"
41,"Разрушение Земли? А вместе, неотрывно - разрушение себя, того Я, которое глубоко внутри, которое задумано было, сотворено Богом. И забыто, замусорено нами. Имеем дело только с этим замусоренным собой. "
42,"До войны, в армии, нас водили из казармы в баню, кажется, раз в две-три недели. Там, в банном непроглядном пару, надо было торопиться, потому что очереди ожидало следующее подразделение. А в войну нас водили в баню только на переформировке, раза три-четыре в год. Все остальное время мы были одетые, точнее сказать - в…"
43,"Здравствуй, Катя, который час? Что ты делаешь сейчас? Бросай дело ты свое и послушай мой рассказ. Сказать невольно я решился, любовь заставила меня. Любовью дышат все народы. Катя, я люблю тебя. Когда умру, когда скончуся, когда в холодный гроб сойду, тогда любить меня не сможешь. Люби сейчас, пока живу. "
44,"""Почемучки Почему наши войска оказались в Венгрии, а не венгерские у нас? Почему наши войска оказались в Чехословакии, а не чехословацкие у нас? Почему наши войска оказались в Афганистане, а не афганские у нас? Почему наши войска оказались в Эстонии, Латвии, Литве, а не их войска у нас? Почему они добровольно…"
45,За рубежом грибных лесов нет. 
46,"Но что сильнее: дружба или любовь? Можно ли любить, но не дружить? Можно ли любить человека, который предал общее дело? Может ли человек любить два раза? Может ли быть любовь с первого взгляда? Может ли быть любовь, если мужчина младше? Ответить на этот ряд вопросов удовлетворительно, положа руку на сердце, мы ещё не…"
47,"Никто не свободен ни в чем, ни в чем. Как короток этот поводок, на котором мы кружимся!.. "
48,"Скромность украшает только в первый момент. А потом к тебе начинают относиться так, как ты сама себя поставила. "
49,"Некоторые считают так: нельзя пройти, так я переползу. В искусстве так не получается, можно только перелететь. "
50,"Простите, простите, простите меня! И я вас прощаю, и я вас прощаю. Я зла не держу, это вам обещаю. Но только вы тоже простите меня! Забудьте, забудьте, забудьте меня! И я вас забуду, и я вас забуду. Я вам обещаю: вас помнить не буду. Но только вы тоже забудьте меня! Как будто мы жители разных планет. На вашей планете я не…"
51,"Надо следить за своим лицом, чтоб никто не застал врасплох, чтоб не понял никто, как плох, чтоб никто не узнал о том. Стыдно с таким лицом весной. Грешно, когда небеса сини, белые ночи стоят стеной — белые ночи, черные дни. Скошенное (виноват!), мрачное (не уследил!), я бы другое взял напрокат, я не снимая его б носил, я…"
52,"Отпустите меня, отпустите, рвы, овраги, глухая вода, ссоры, склоки, суды, мордобитья — отпустите меня навсегда. Акробатки на слабом канате, речки, заводи, их берега, на декорационном закате нитевидные облака, мини-шубки, и юбки, и платья, не пускайте меня, не пускайте, на земле подержите пока! "
53,"Это, что ли, жизнь кончается? Пять. Четыре. Три... Под ногой доска качается — и конец игры? Это значит — притомились? До свиданья всем? Но со счета где-то сбились. Десять! Восемь! Семь! Сроки снова отменяются. Это мне за что?.. Правилам не подчиняются. Триста! Двести! Сто! "
54,"Открыться жизни! Распахнуть наружу окно мое. Я сон души нарушу! Как долго заперта была в глуши. Распахнута душа моя, дыши! Смотри во все глаза, что происходит в открытом мире! Появился СПИД! Кто едет, кто дорогу переходит. Кто в семь проснулся, кто до часу спит! Какие толпы населяют Землю! Какие дети на траве растут! Как…"
55,"Никогда не думай, что о тебе думают, учись не зависеть от чужого мнения. "
56,"Калифорния. На бамперах почти всех машин - наклейки с надписями, чаще всего шутливыми. Это произвело на меня такое впечатление, что я просил переводить мне каждую. ""Три дня в неделю при мне заряженный пистолет. Догадайся, в какие дни"". Машину ведет молодая красивая женщина. На бампере: ""Как много мужчин, как…"
57,"Судья. Мир-то будет между вами? Шумилов. За последнее время скандалов не было. Ну, ударил я ее один раз. Судья. Когда? Шумилов. Число точно не помню. В общем, день рождения ее был. "
58,"Две дороги перед вами: быть главой семьи, радоваться, что у вас растут дочки, жена счастлива. И другая дорога — злодейка с наклейкой. Подумайте, может быть постараетесь вернуться в человеческое состояние? "
59,"Это как называется?. Хворост.(радостно улыбаясь). Хво-рост. Очень вкусно. Нина прекрасная кулинарка. Не напрягайся, дорогой. Простите, очень быстро, плохо понимаю. НИНА (улыбаясь). Это я не вам. (улыбаясь). Это она мне… Билл, рассудите, почему,…"
60,"Там было много новых слов. Я запомнилХорошо, хорошо. Билл рухнул на кровать. Я алкач, да? Бузыкин. Алкач, алкач. А ты – ходок. Бузыкин. Ходок я, ходок. Хорошо сидим… "
61,"Очень плохо, да?Да нет, не очень. Но ты же все вычеркиваешь? Не все. Но какие-то вещи я не могу оставить. Ну, вот: «Коза кричала нечеловеческим голосом». А каким?.. Бузыкин. А никаким. Просто кричала. "
62,Никакие письма не стоят хорошего состояния духа. 
63,"Есть вещи, о которых можно говорить только глядя в глаза. "
64,"Когда тебя невзлюбят, потом трудно разубедить. "
65,Стыдно быть несчастливым. 
66,"Когда ты без меня ты фантазируешь, и тебе кажется, что ты любишь меня. Но каждый раз, как мы встречаемся, ты разочаровываешься. "
67,"Эта элита признает Мадонну Литту. А для элиты той Литта - звук пустой. Она ценит, однако, Кафку и Пастернака. Сколько разных элит! Больше, чем простофиль. Этот - космополит, этот - славянофил. Эти - по шашлыкам, те - по средним векам, по уральским скитам, по сиамским котам. А над всякими всеми - физиков клан: насмешлив,…"
68,"В жизни часто симулируют болезни, в искусстве же все наоборот: симулируют здоровье "
69,"Наши девушки славятся своей красотой. Правда, стоит сказать об этом приезжему человеку, как обязательно мимо пройдут какие-нибудь тощие, белесые. "
70,"А это было еще тогда, когда: как снег был бел, как реки чисты, как небо в этих реках сине, валютные специалисты носили доллары в торгсины, а по небу аэропланы, а по земле автомобили, а пионеры в барабаны, а диверсантов посадили, а ввысь строительные краны, а вглубь большие котлованы, а мы, - чтоб сказку сделать былью,…"
71,"Любовь - это помешательство. Только когда два помешательства пересекутся - тогда получается счастье. Но это редкость, об этом потом двести лет пишут книги. ""Происшествие, которого никто не заметил"" "
72,Кто как умеет... тот так и верует. Я верующая в любовь и ласку. А кто никого не любит - тот грешник. «Мать Иисуса» 
73,"На могиле человека надо писать не то, кем он был, а то, кем он мог быть. "
74,"Заслуга не в том, чтобы не делать ошибок, а в том, чтобы вовремя их исправлять. "
75,"О тех, кого мы любим, мы можем рассказать меньше всего. "
76,"Сейчас иду по улице, смотрю, птицы сидят над карнизом. Он спит, а она его клюет - ей скучно. "
77,"Я начитан до мозга костей, я насыщен теорией по горло. "
78,"Есть в движенье сладость и тревога. Станция, внезапный поворот — Жизнь моя — железная дорога, вечное стремление вперед... Слишком много дальних расстояний,— только бы хватило кратких дней! Слишком много встреч и расставаний на вокзалах юности моей. "
79,"Что это у вас меланхолия? В наше время вы должны быть оптимистом. Берите от жизни все! Ильин. Все взял, ничего не осталось. "
80, По третьему закону Ньютона - действие равно противодействию. Она меня воспитывает - я сопротивляюсь. 
81,"Вопрос: почему отшельники удалялись от людей? Раньше я думал, потому что все люди греховные, значит подальше от них. На самом деле вовсе не так. А потому что он, отшельник, среди людей то и дело допускает плохие, грешные, как говорится, поступки. Соблазны, конечно, внутри нас, но возможность этот соблазн осуществить - она…"
82,"— А что природа делает без нас? Вопрос. Бузыкин диктовал. Алла стучала на машинке с профессиональной быстротой. — Кому тогда блистает снежный наст? Вопрос. Кого пугает оголтелый гром? Вопрос. Кого кромешно угнетает туча? Вопрос. Зачем воде качать пустой паром, И падать для чего звезде падучей? Ни для чего? На всякий…"
83,"- Когда-то злой волшебник Тролль смастерил зеркало, - слышен голос. В котором все доброе и хорошее исчезало, а все плохое, напротив, бросалось в глаза и выглядело еще отвратительнее. Тролль и его ученики были в восторге от зеркала. - Только теперь, - говорили они, - можно увидеть людей, да и весь мир таким, какие они есть…"
84,"По-моему, ты не только боишься поверить, что я тебя люблю. Ты все еще боишься поверить, что и ты меня любишь. "
85,Ты слушайся меня. Самые хорошие советы дают неудачники. 
86,"Как она вас любит! Это раз в жизни бывает, и то не со всяким. Другой и так проживет и думает - все в порядке. Где-то я читала, что любви нет, есть одна симпатия. Неправда! Разве что-нибудь сравниться с любовью? Без нее человек высыхает. "
87,"-Никогда не думай, что о тебе думают, учись не зависеть от чужого мнения. -Как же не думать? Мы же не одни живем, в человеческом обществе... "
88,"Видишь ли, есть женщины с ямочками на щеках, есть без ямочек. Тамара - единственная женщина в мире с ямочкой на одной щеке. "
89,"Ты - как тот хозяин, который жалел собаку. И отрезАл ей хвост по кусочку. Это больно... "
90,"Заслуга не в том, чтобы не делать ошибок, а в том, чтобы вовремя их исправлять. "
91,"Просто так мало случается видеть в жизни интересных людей, поэтому хочется казаться чуть лучше. "
92,"Дружба может быть без любви, а любовь не может быть без дружбы. "
93,Неинтересная женщина – все равно что глупый мужчина. 
94,"Перед девушками извиняться не стыдно, им всегда хуже, чем нам. "
95,"В разговорах с ним все почему-то легко находили точные и убедительные формулировки. Бузыкин понимал их несостоятельность, но быстро найти убедительные возражения не умел. "
96,Как часто наши пороки проистекают просто от недостатка ума. 
97,"Почему думают, что смерть - это страшно? Потому что больше не будет радостей жизни, ее удовольствий? Нет, смерть страшна не этим, а наступающим безразличием к радостям жизни и наступающим интересом к ее болям, ее лишениям и разочарованиям. Разумным, правильным разочарованиям во всем... Так смерть отнимает дни у жизни..…"
98,"Я тогда учился в пятом классе и не знал, что такое Пастернак. ""Почитай"". Почитал, не понял. Долго читал, ничего не понимая. Помогли мне упомянутые отлучения из дома. Тогда над подъездами были железные навесы. Там и начал понимать. (""... Так носят капли вести об езде, и всю-то ночь то цокают, то едут стуча подковой об…"
99,"Мало где люди так зависят от правительства, от его непостижимых ошибок и от решительного исправления этих ошибок на другие.Мало где так гадают, что следует ждать от правительства в будущем, что стоит за его словами и т.д. Хорошо, когда интересы членов правительства совпадают с нуждами страны. Это, к сожалению, случается…"
100,"Как зависит дар художника от того, на какой максимум счастья он способен! Соответственно, так же глубока и пропасть возможного отчаянья. Лишь гении неподведомственны рабству. "
101,"Спрос рождает предложение. Выросла порода людей, которые и сами уже подготовлены к зависимости. Рабство последних у предпоследних ( по положению), рабство нижележащих у среднесидящих, рабство среднесидящих перед вышестоящими, рабство вышестоящих перед еще более высокостоящими. "
102,"Очевидно, чувство любви, которое может стать радостью существования, не отказывает себе в праве поиздеваться. Подурачит, поводит за нос, собьет с толку, заморочит, десять раз обманет, а потом уж перед кем искупит свои забавы, а перед кем и нет. Так и проживут - и думают, что все в порядке. "
103,"Сейчас, например, надо, чтобы было страшно. В черных машинах, в бежевых дубленках приезжают посмотреть спектакль из жизни коммунальных квартир, из жизни насекомых. Правда, война была все же страшней, чем даже такой театр. "
104,"В искусстве размножились дегустаторы. Этак язычком: Ц... Ц... устарело это, сейчас нужно вот что... Прежде сверху указывали, каким и только каким должно быть искусство. Теперь прогре-ссивные дегустаторы решают, каким и только каким оно должно быть. Одноместный трамвай. "
105,"Прежде Россия славилась пушниной, лесом и бабами. Теперь бабы стали деловые, волевые. Прежде, когда становилось постыло, все могла заменить одна женщина. Теперь эту одну найти невозможно. Может быть, потому, что глаз пригляделся, чувства притупились, бдительность ослабла. Если мелькнет такая, ты ее и не заметишь. "
106,"Мы дети стольких грехов, что надо научиться хоть что-то прощать самим себе. "
107,"Любящие люди сосут нас больше, чем остальные. За это и любят. "
108,"Еще один день рождения. В детстве поздравляли старшие, и твоя жизнь становилась для тебя значительной, праздничной... Старших нет. А поздравления младших не поднимают тебя, как прежде, в собственных глазах... "
109,"Волевые люди подавляли Бузыкина. Они не слышат объяснений. Они выстроили в своём представлении такой определённый образ мира, нарушить который может только катастрофа. "
110,"Человек должен делать самое большее, на что он способен. "
111,"Комик Макс Линдер покончил жизнь самоубийством из-за того, что Чаплин его превзошел. Достоевский карикатурно изображал собратьев по перу Тургенева и Гоголя. Булгаков в ""Театральном романе"" вывел в образе завистливого писателя популярного в те времена Бориса Пильняка. Каждый выбирает себе предмет для соперничества и…"
112,"Все больше вампиров, все меньше доноров, нехватка крови. "
113,Самые хорошие советы дают неудачники. 
114,"Людям часто казалось, что плохого в жизни больше, чем хорошего. Но вот прошло время - и что на поверку? Ленин, Джордано Бруно, Пушкин - люди их вечно будут помнить! А разные инквизиторы, гонители, цари - почти все забыты. Только отдельных представителей еще по истории проходят, да и то путают, какой царь после какого шел. "
115,"Это в романах влюбляются неизвестно за что, а в жизни все-таки любят за что-то. "
116,"Иди к нему. А то, знаешь, есть такое словечко: ""поздно"". Ничего, еще узнаешь! Ты слушайся меня. Самые хорошие советы дают неудачники. "
117,"У нас одна девочка остригла косы, надела кофту в обтяжку, юбку с разрезами - у нее сразу мальчики появились. Скажите, почему это? Мальчишки тоже есть не лучше. Он с тобой знакомится и уже заранее спрашивает, где ты живешь - боится, что далеко провожать... "
118,"По идее можно жить только с такой женщиной, которая высекает из твоей души искры. "
119,"Надо привыкать к мысли, что лучшее уже позади. "
120,"Когда любят - не стыдятся. Любовь - бесстыдное чувство, учтите... "
121,Женаты мы. Любовь нас не волнует. Домашней лирики приходит срок. Пора! Пора! Уже нам в лица дует Воспоминаний слабый ветерок. 
122,"Я люблю, когда рассказывают про расставанье. "
123,"Пускай лучше думает, что я этакий отчаянный, безрассудный, ну, непрактичный - это женщины прощают. Надоело, говорю, все это, махнем куда-нибудь к дьяволу на Север... Вот, если бы она согласилась, я бы и взял ее к себе, а потом бы как-нибудь обошлось. Так нет, сначала ей надо выяснить, рассудить, вникнуть во все…"
124,"Я ведь, в сущности, живу одна. В будни ничего - работа у меня интересная, ответственная, все время чувствуешь себя нужной людям. А в праздник плохо. Никуда идти не хочется. Все парами, парами, только ты одна. Один раз еду в трамвае и думаю: ""Вот бы ехать, ехать, никуда не приезжать"". "
125,"Вот это был наш собственный переулок. Наш персональный кинотеатр. И наше личное небо. Какое небо, а? Зима, ночь, а оно синее, хоть ты разорвись! Нет, опасно возвращаться на те места, где ты был счастлив в девятнадцать лет! ""Где я страдал, где я любил, где сердце я похоронил"". "
126,"Девушка встретила человека. Он в нее влюбился до беспамятства. Она хочет пройти с ним рядом всю жизнь. А он вдруг - раз! - бросил ее. Тогда она другого встретила. Уже не совсем то, но все-таки привыкла к нему и тоже хочет с ним вместе пройти жизнь. А он - хлоп! - опять то же самое, ушел. А ей семью хочется, ведь женщина!…"
127,"Худо, брат, когда ты ошибешься в женщине и она до конца дней будет портить тебе существование. Но во сто раз хуже, если ты по дурости пройдешь мимо стоящего человека. "
128,"Жизнь моя, иль ты приснилась мне! Все-таки молодость - окаянная штука. Обещает и обманывает. А мы все верим. "
129,"Я вообще не верю мальчишкам. Я с одним два года дружила. А потом он меня избил и бросил. Да, сейчас уже не может быть, как в каком-то веке: девушка, жизнь за нее отдать... Сейчас перегиб в другую сторону. Им неинтересно с такой, которая будет какие-нибудь идеи толкать. У них одна цель - считают, что нужно обязательно…"
