,text
130,"Люди видели бы вокруг себя много прекрасного, если бы не были так злы. "
131,"У тети Томы есть календарь женщины - там точно подсчитано: если средняя продолжительность жизни семьдесят лет, то на сон уходит двадцать пять лет, на еду - шесть, на умывание - полтора года. А если подсчитать, сколько уходит на бессмысленные разговоры... "
132,"Между прочим, у нас на лестнице одна женщина - тридцать восемь лет - вышла замуж. За семидесятилетнего. В тридцать восемь лет можно выйти за что угодно. "
133,"Когда на столе белая скатерть и цветы - неловко быть мелочным, грубым, злым. Скатерть должна быть со складками от утюга: они пробуждают воспоминания детства. Возвышенно. Жить надо мудро, без суеты. Учти, в книге жизни много лишних подробностей. Но тут существует секрет: эти страницы можно…"
134,"Единственноость человеческой жизни для нас то и дело заслоняется повседневностью. Но искусство по сути своей - вызов человека небытию, неизбежной смерти, обжитой пустоте мироздания. В простейшей форме такой вызов - отчаянные, счастливые песни-крики Эдит Пиаф, неизлечимо больной женщины. Вахтангов незадолго перед смертью…"
135,"Как заразительна суетность, изощренная зависть, обезумевшая мелочность - это как болезнь, заразиться может любой. Ощущение единственности жизни незаразительно, как здоровье. "
136,"По уставу положено было служить два года, как и сейчас. Но нас не отпускали и три, и четыре. В общем, не было слышно, чтобы кого-нибудь отпустили. Готовились к предстоящей войне. Готовились, готовились, а она оказалась неожиданной. Казарма, красноармейская служба. Мальчишки, виновные без вины. Уставы, учения, чистка…"
137,"Когда начались сомнения? Когда началась отдельная от государства жизнь? Точнее сказать, не мы от него отделились, а оно от нас отделилось, дало понять, что не нуждается в наших мнениях. А нам – то и дело стыдно за него. За другие государства не стыдно, они не наши, а за это стыдно, потому что оно наше, и все, что оно…"
138,"Я работаю под началом Дмитрия Петровича. Должность невыразительная, просто инженер. К чему такое унижение? Инженер по-французски – изобретательный человек. "
139,"Может ли разучившийся работать народ заново полюбить свой труд? Не знаю. Чего потребуют от жизни разуверившиеся во всем молодые? Не знаю. Олигархи, на которых вся надежда, - да ведь и они изуродованы временем, сколько среди них ""чистых""? Не знаю. Может ли возродиться сила, способная снова взять власть в свои стальные…"
140,"Воспоминание. Год точно не помню, было это при Хрущеве, когда сажали за связь с иностран-цами. Арестовали писателя Кирилла Косцинского. Меня вызвали в Большой дом свидетелем. Следователи в военном разговаривали со мной дружелюбно, давая понять, что они теперь не такие, как были раньше. Расспрашивали про разговор, который…"
141,"Дядя, оставьте ее, она разберется сама. Мы все равно не можем жить по-вашему. Мы не умеем. У нас не получается.  Ничего, ничего, получится. Нет, я все-таки хочу, чтобы вы поняли. Мы ни за что не будем жить по-вашему. Это исключено. Мы никогда не будем жить по вашему. Лучше уж совсем не жить!.. "
142,"Скромность украшает только в первый момент. А потом к тебе начинают относиться так, как ты сама себя поставила. На завистников не обращай внимания, завидовать все равно будут. "
143,"Я сама с собой не люблю петь, а дома — некому, в театре — тоже ни к чему. Вообще я замкнулась... ㅤ "
144,"Помнишь, я говорила: лишь бы взяли, я на все согласна. Нет, видно, человек неблагодарное животное. Вот мне уже и мало этого, вот мне уже и плохо. ㅤ "
145,"Так эти тетради буквально съедают все время, ничего не остается на воспитательную работу. ㅤ "
146,"А что, если пойти к ним и сказать: возьмите меня. Мне не надо денег, я так буду работать. На уж, даром-то.Прямо бы в ног им: вы меня помните? Я понимаю, я для вас небольшое приобретение — я не так молода, у меня нет специального образования... Но ведь я ни на что не претендую! Только не…"
147,"Ведь я чуть не стала артисткой! И сама от всего отказалась. Ради чего! Ради того, чтобы переть моя сестра путалась с женатым человеком? Меня же сосем уже приняли в театр! "
148,"Вот беда, всю жизнь я сначала думала о своей сестре, потому уж — о себе. Я ради нее от всего отказалась. А теперь она выросла, завела роман с женатым человеком. "
149,"Я вынужден слушать, как ты несешь какую-то околесицу о любви и дружбе, и не могу захохотать. потому что мне тебя тоже жалко. "
150,"И вот, чтобы удержать друг друга, чтобы не потерять, мы скорей говорим старое нежное слово ""люблю"". А это не любовь. Это, может быть, даже лучше, сильнее, но этому еще не придумали названия. "
151,"Что делать, в юности часто против чего-то протестуют, стремятся во что бы то и стало утвердить свою личность. Но бывали случаи, когда именно такие вот отчаянные потом приносили человечеству пользу. "
152,"У меня такая установка: когда солнце есть и я его вижу — мне хорошо. Мне плохо, если солнце есть, а я его не вижу. "
153,"Что ты болтаешь! Володя захотел с тобой познакомиться. Где он может тебя увидеть? На стройке? Туда нужен пропуск. Домой тоже так не ворвешься, здорово живешь. Как он может тебя узнать? "
154,"Это все красиво, пока мы зрители: пришли, похлопали и отправились спать. А ты будешь переживать, почему сегодня хуже похлопали, чем вчера. "
155,"Где надежды? Где восторги? Ничего нет. Бабочка-однодневка. Л и д а. Ничего нет, значит, ничего и не было. Ермолову помнят с девятнадцатого века. ㅤ "
156,"Почему тебя не устраивает самодеятельность? Народные театры всюду есть. Если на то пошло, скажи, кто лучше сыграет рабочего, артист или рабочий? Л и д а. Тогда получается: чтобы этому рабочему сыграть Отелло, он должен сначала задушить свою жену? "
157,"Почему тебя не устраивает самодеятельность? Народные театры всюду есть. Если на то пошло, скажи, кто лучше сыграет рабочего, артист или рабочий? "
158,"Довольно. Да, довольно! С вами я горжусь своим разрывом!Хватит, хватит, довольно. "
159,"Поступающий, внешность которого, к сожалению, не соответствует образу, читает монолог Чацкого. "
160,"И вот теперь — столько потрачено сил, столько переговорено, столько бессонных ночей — ты вдруг чего-то испугалась? Заранее, без всякой причины, ни с того ни с сего?.. ㅤ "
161,"Если у нас случалась какая-нибудь неприятность, мы не падали духом, мы знали: через два дня мы идем в театр! ㅤ "
162,"Наоборот, будет плохо, если ты ничего не проверишь, ни в чем не убедишься и сама зароешь свой талант в землю. "
163,— Смерть за смерть! — воинственно закричали воинственные. 
164,"Если я не ошибаюсь, вам взбрело в голову, что я, так сказать, неудачник. Увы, я лично этого не нахожу. <...> Человек должен всегда оставаться самим собой. Самая выгодная позиция. <...> Запомните: я свободный, веселый и счастливый человек. И еще буду счастлив разнообразно и по разным поводам. "
165,"Готовились к предстоящей войне. Готовились, готовились, а она оказалась неожиданной. "
166,"Взглянешь на встречного он улыбнется вам и даже скажет ""Хай!"" или ""Монин!"" А если идешь со своим привычным выражением лица, могут спросить: ""Что с вами? Что-нибудь случилось?"" "
167,"После слез, говорит, становится легче, я лучше сплю. Значит, знает уже, и хорошо, – как «после слез». Значит, пролил их уже немало, успел. "
168,"Мы решали конкретные технические проблемы: способ проведения трассы, угол заточки резца – чем больше страсти в решении конкретной проблемы, тем больше убежденности, что все остальное – в порядке. "
169,"– Что вы делаете, сразу пишете? Вот посмотрите на него. Он думает! Думал же я о том, что меня тошнит. "
170,"Не отсюда ли, от ощущения бесконечности этой жизни, – вера в бессмертие? Может быть, эта вера – просто привычка жить? "
171,"Безвыходных положений нет. Если трудно вместе – можно разойтись. Если, напротив, конфликт на работе – можно найти другую, похуже. Если плохо в этом городе – можно уехать в другой, поменьше. Если больше невмоготу жить – можно перестать. Это случалось, и не раз, и с более достойными. Умерли все: Эйнштейн и Эйзенштейн, Гомер…"
172,Понял слово испытание. Это значит: послано испытание – совершу грех или нет. 
173,"Всему придумывается хорошее объяснение. Только ненадолго. Придумалось, успокоило и – исчезло. "
174,"Беда в том, что я, когда не выпью, – не человек. То есть вялый, скованный, малоинтересный. Если же немного приму, то становлюсь раскованным, с чувством юмора и любовью к рядом сидящей женщине. Тогда мне и со случайными людьми хорошо и им со мной хорошо. "
175,"Из-за чего только не мучился! Из-за того, что обидел – нечаянно, и не думал. Из-за того, что опоздал, из-за того, что поступил глупо. Из-за женщин, порядочных и непорядочных, из-за порядочных больше. Из-за друзей, близких и не очень. Из-за близких больше. Никогда не мучился только из-за одного: из-за того, что мучаюсь…"
176,"Раньше падал духом с высоких мест. Взбирался на них долго, а падал легко и ненадолго. Теперь же особенно высоко не взбираюсь. К чему? Все равно падать. "
177,"Когда мы влюблялись, не казалось ли нам, что это – на всю жизнь? Сколько раз мы ошибались в этом. Когда мы переходили на новую работу, не радовались ли мы обилию новых людей, новой жизни, не похожей на прежнюю? А когда мы привыкали к этим людям, как разочаровывались. Сначала в этом человеке, затем в том, как стали…"
178,"Как хорошо однажды понять, что ты – человек прошлого. Знакомые думают, что они знают тебя, а на самом деле они помнят тебя. "
179,"-...А я решила покраситься, а то ни разу брюнеткой не была. (Встала, повернулась к нему лицом, беспокойно засмеялась.) -Смотрю я на тебя и думаю: дура ты или умная? -Я не дура, я не умная - я веселая. "
180,"Искусство всегда нарушает нормы. Но лучше в малом нарушить нормы сильно, чем в большом чуть-чуть.  "
181,"Человек, который лелеет свои настроения, увлекательно говорит о своих настроениях. почему-то, как правило, глух к настроениям других.  "
182,"Вы не устали от ваших романов? По-моему, это утомительно. Филимонов. Романы? А у кого их сейчас нет? Только раньше, в молодые годы, мы были охотники, а теперь становимся дичью. Вот это - ха-ха-ха - действительно утомляет. Но с вами, Ирочка, я опять охотник. (Он взорлил, оставляя все же возможность воспринять это как…"
183,"Хорошо, допустим, он такой. Но он ведет какую-то свою игру. А ты - пешка в этой игре! Страдания пешки на шахматной доске! Ира: Но без этой пешки он пропадет! Миша: Не думаю  "
184,"Что же, интересно, он обо мне говорил? Наташа: Только хорошее! Как раз это меня в нем и подкупило: не люблю, когда одной девушке говорят про другую, что она неплохой человек, но чего-то в ней не хватает. Я ведь знаю, как он любил вас, сколько лет! Одно это в наши дни поражает. Ведь такая юная школьная любовь потом…"
185,"И ты молчал, когда меня обвиняли в убийстве! Ты молчал, когда меня хотели лишить жизни! Ты же был друг мне! Значит, верной дружбы не может быть? Значит, ничего нет верного? Что же тогда есть? "
186,"Глава: В нашем роду появились люди, которым надо посеять раздор. Об этом еще трудно говорить. Но мне кажется, что для этой цели они выбрали тебя. Ушастый: Почему меня? Глава: Может быть, потому, что ты не такой, как они. Они это нюхом чуют. Станешь совсем взрослый - хлопотно будет с тобой. А если ты докажешь, что не…"
187,"Я понимаю, тебе трудно. Когда тебе изменят, это всегда обидно. Но что делать. За любовь можно бороться только любовью. Злость тут не помогает.  "
188,"Постойте. Я что хочу. Ушастый, а?.. Опять врать станешь? Ведь так и покатится. Дети начнут взрослым врать. Взрослые будут друг другу врать! До чего вообще-то дойти может? Страшно подумать! Своему же собственному Главе будут привирать! Больше скажу. Один Глава рода будет другому Главе рода врать почем зря! А тот Глава…"
189,"Что же получается? Разные люди говорят разное. Непонятно, кому верить, кому не верить... Да и как не верить? Если мы перестанем верить друг другу, что начнется? Тогда нам остается разойтись в разные стороны. Тогда мы уже не единая семья, а неизвестно что! Так что давайте на этом прекратим наши препирательства и…"
190,"Ну вот, опять начали бросаться друг на друга. Потому что все голодные. Неужели нельзя мирно поговорить, без оскорблений? Ушастый, скажи по-хорошему. (Ящерица) "
191,"Если все это осуществится, да еще при помощи Куропеева, это будет смешно. А впрочем, почему бы и нет? Бывало же так: что-то кажется человеку невероятным. невыполнимым, но вот кто-то сказал это вслух, и другой повторил, и его идея стала для всех простой и естественной, и даже странно, как это до сих пор ее никто не…"
192,"Вот в этом как раз твое несчастье. Природа дала тебе тщеславие, а способности придержала. Поэтому все твои понижения и повышения стоят тебе гигантского труда. И чем дальше ты будешь подниматься по лестнице, тем больше тебе будет не хватать способностей. Я раньше как-то не мог говорить с тобой откровенно. Мне с тобой…"
193,"...а сейчас надо идти. Саня: Не пойду. Лямин: Почему? Саня: Я сказал... Я не умею сочувствовать. Лямин: Не надо сочувствовать, просто проведаем. Саня: Нет, надо сочувствовать. У неё несчастье - значит, надо сочувствовать. А я вообще не умею переживать. Сегодня был у своих старух. У них неприятности, а я сижу и не…"
194,"Изнашиваются не люди, не вещи, а наш способ глядеть на них. Сечешь? -Полный покой. Невозмутимость. Болезни - от обид. Старость - от зависти. Усваиваешь? В книге жизни много лишних подробностей, эти страницы надо пропускать.  "
195,"Все, все... Белый танец! (ставит пластинку на диск.) Дамы приглашают кавалеров! Катя: Пошли уж... Хм... Белый танец. Одна форма без содержания. Сейчас уже не может быть как в каком-то веке: девушка, жизнь за нее отдать... Сейчас перегиб в другую сторону. Вам неинтересно с такой, которая будет какие-нибудь мысли…"
196,Со всеми хорошей быть нельзя. Как конфетку оближут! 
197,"Это я сама прочту. ""Вы в своей статье пишите, что она неисправима. Но В.И.ленин - Ленин! - говорил, что девяносто девять процентов поддаются агитации или внушению. Не могла же она оказаться сотой! Почему же вы сами не повлияли, а стали просить помощи у газеты?"" Критика в ваш адрес.…"
198,"Не знаю, что мне делать: демонстративно уйти или демонстративно остаться. "
199,"Еще угнетенный неловкостью перед Аллой, но уже озабоченный предстоящим объяснением с Варварой, он то трусил перебежками, то припускался стремглав. "
200,"Девушка не спит, не спит, не спит, полюбила злого чудака. Неудачник, люмпен, эрудит и, возможно, тронутый слегка. Он читает старые стихи, о самоубийстве говорит, у него глаза тихи, тихи, он немолод и небрит, небрит. Некогда его любовь сожгла. У него в груди зола, зола. Под глазами у него круги, за спиною у него враги.…"
201,Человек должен всегда оставаться самим собой. Самая выгодная позиция. 
202,Когда человек один - ему все представляется в мрачном свете. 
203,"Опасно возвращаться на те места, где ты был счастлив в 19 лет. "
204,"...если средняя продолжительность жизни семьдесят лет, то на сон уходит двадцать пять лет, на еду - шесть, на умывание - полтора года. А если подсчитать, сколько уходит на бессмысленные разговоры... "
205,"– Ничего, это только начало"
206,"Когда срок ее пребывания в доме отдыха кончился, я ринулся за ней в Осташков, хотя не прошло и пяти дней, как приехал"
207,"- Наша дочь выходит замуж, - сказала она"
208,– Да! Да! – в слезах вскричала Ящерица
209,"– Это со мной, – сказала Землеройка"
210,"То Папа умер, то землетрясенье —"
211,"Маленькие мысли, оставьте меня! Сгиньте, брысь!"
212,Какой-то очень неприятный человек требовал у официантки чего-то необыкновенного
213,"– Почему – увлекалась? Я и сейчас увлекаюсь, даже сильнее, чем раньше"
214,"Правда, и смотреть-то отсюда не на что"
215,– А ее там нет
216,"– Значит, я твоя жена!"
217,- Что же здесь такого хорошего? - удивился я
218,а вечерами с вами пил
219,Но вот в двери появилась девушка в белом
220,Я бы даже так выразился – за честь
221,"Это и не круг вовсе,"
222,"– А как же! Я буду рассказывать о твоей притягательной внешности, о твоем необыкновенном телосложении, и как ты всем этим пожертвовала ради нас"
223,В первый раз я ничем не могу помочь ей
224,"- Что же, довольна ты своей судьбой?"
225,чтоб никто не узнал о том
226,"Два роскошных курсанта во френчиках и фуражечках, совещаясь, смотрят из-за деревьев"
227,"Можно носить слуховой аппарат, но я избегаю - мне кажется, что он немного смущает собеседников"
228,Сколько времени это длилось? Не знаю
229,"Начались березы - чем дальше от центра, тем выше"
230,"Она сначала испугалась, но они ее успокоили каким-то своим способом"
231,Сообрази! На это тебя уже не хватает?
232,"– Здесь не знают, из какого я рода"
233,"Вот так каждый раз наши ссоры оканчиваются далеко от того места, с какого начались"
234,"Официантка только присела напротив скульптурного водопроводчика, как за этот же столик (стыд, неразбериха жизни) села женщина с сонным лицом, заказала бутылку пива, стала тянуть из граненого стакана, Мне стало жалко и ее, и официантку, и мою дуру дочь, и жену, и всех женщин"
235,и если последний ночлег —
236,Тот только и мог сказать жалобно:
237,"И странно представить, что некогда она могла возбуждать воображение"
238,Что-то неисправимо изменилось в ней
239,"Как тебе твой-то понравился, который похитил?"
240,Опоздаю в казарму! Где ремень? Вот ремень
241,"Вывезти и сжечь, что ли"
242,"Хитрая проза жизни может соблазнить лишь тем, что крадет у поэзии"
243,"Пистолет мой лежит в грязи, не взяли"
244,"Тому, кто его выдаст, было обещано двести дукатов… Но все же несколько отвлекаюсь…"
245,"Там уже пристроилась семья, видимо приезжая: очень красивая серьезная женщина, которая курила, ее муж - здоровенный серьезный человек и серьезный взрослый сын"
246,А я — фьюить! — разжалован в солдаты
247,– А тогда ему попадет
248,Тут отдают! Тут улыбаются светло!
249,а для меня твоя беда
250,Куда бегут? Зачем? К кому?
251,"как вы искали, не видали"
252,Она перестала бы меня ценить
253,Ради меня они коснулись и поэзии
254,"Сегодня Оля подошла ко мне сзади, когда я писал, и, глядя не на тетрадку, а на голову мою, усмехнулась: ""Что, старичок, все трудишься?"""
255,"А как они рыбу сохраняют, чтобы не портилась?"
256,"Но она не обратила внимания и на эту сеть, потому что остановилась оторопев"
257,"– Попробую поговорить с ней, – сказал Похититель"
258,Вы веселитесь?  И я веселюсь
259,"А под конец, зевнув устало,"
260,А над всякими всеми -
261,"Есть же люди, которым везет! У меня была Мария — скромная красивая девушка"
262,"– А вот ты, мог бы так? А? Попал бы?"
263,"я, как солдат, пишу ответ"
264,А члена парламента все не оставляли в покое
265,"Разрешите взять мантилью, господин офицер"
266,"Пустые полки, все упрятано на ночь"
267,Товарищ моего сердца? Мы земляки?
268,"Меня цыгане увезли в Севилью, чтобы я могла скопить денег и вернуться к моей матушке"
269,"Так, с пятого на десятое"
270,"Ящерица хотела было ответить, но не смогла, ком подкатил к горлу, залилась краской"
271,"Тут Ящерица не удержалась, бросилась на Поющую"
272,» То есть – еще вернешься ли
273,"– Говори, дочка, – сказал Советчик"
274,– Шкуры – это ладно
275,Равенство хитрых и ушлых — ушлым?
276,"Но вот глаза его гипнотически начинают мутнеть – кажется, задремал"
277,"На этой улице, в доме старой цыганки…"
278,Это чтобы зверь бросился на него…
279,и осуждать их не берусь
280,"Она стояла непринужденно и смотрела, скромно опустив глаза"
281,хотя по роли требуется мат
282,"Но окна забраны решетками, на двери, наверняка, сигнализация"
283,Качу как-то в коляске с полковником — что вижу! Разжалованный мой на посту!
284,"Если бы вдруг я наткнулась на более одаренного и беззащитного человека, я, возможно, заколебалась бы"
285,А не снесете головы -
286,"– Какая-то из провинции, что ли"
287,Верней - не спать пора
288,"– Достоверных источников, – подсказал Красноречивый"
289,"Думаешь, обойдется — нет, не обходится ничего"
290,"Я сразу понял свою оплошность, молю их:"
291,"– Раньше я думала, что глаза – просто для того, чтобы смотреть"
292,– Выдайте ей другую шкурку
293,– Мы пришли мириться с тобой!
294,"потому что это не нужно слышать,"
295,"И опять станешь такой! У него лечатся большие люди, которых я тебе назвать не могу! К нему попасть – это великое везение! К нему очередь! И я о тебе уже договорилась! Причем, он не терпит людей с гонором, а ты скромный человек"
296,"Надо знать, где они там"
297,"– Ничего не помнит, ничего не знает"
298,"– Смотри, она что-то поняла!"
299,"Это был человек из их Рода, пропавший без вести уже давно"
300,Как они эту сеть делают? Мало ли что с нашей случится
301,"а там — сравнение систем,"
302,– И никому это в голову не пришло! Вот потому ты и Глава
303,"– Посмотрите, что они пишут на стенах!"
304,Зачем бегут?  Куда?  К кому?
305,Вот у кого полно рыбы
306,"Мне писала моя жена! Единственный отклик на мое поэтическое творчество пришел от собственной жены! Следовало бы удавиться, если бы это не было так трогательно"
307,Кто нам — иль им — главою будет?
308,– Почему ты какой-то такой? Необыкновенный? – пошучивала она
309,– Ты непохожа на наших женщин
310,"– На себя посмотри, измотался уже весь!"
311,"– Щербатый, Долгоносик, проводите ее к той поляне у подножия гор, где живут Скорпионы"
312,"Обманутая, замороченная, соблазненная (пошлое, но точное слово), она считала себя умней и дальновидней нас"
313,"мы подонка — по имени-отчеству,"
314,"– Вот ты всегда замечаешь то, на что другие и не обратят внимания"
315,"И вот я отсидел, казалось, уже достаточно"
316,"Ни он, ни она не пили вообще"
317,"Скорпионы уже танцевали свое, похожее на наше сегодняшнее"
318,"И чувствую, он начинает тянуть время"
319,"К тому же она врач, всем нужна"
320,"… и я, не желая того, сгоряча! Прикончил его"
321,не верь среди бесчинства тайн
322,"Стал говорить ей: “Это могло бы быть! Это могло бы быть!” Проснулся, потрогал щеку — слез нет"
323,"Ты красиво оборачиваешься, когда тебе надо оглянуться… Я нарочно окликал тебя сзади, чтобы ты оглянулась!"
324,"Одержимый все-таки парень! А где одержимость, там, возможно, и талант, шут его знает"
325,"И, спотыкаясь о корни деревьев, побежала"
326,"Молодые женщины и девушки, станьте рядом, чтобы мы увидели вас в полный рост"
327,Несметная армия в мирное время
328,"и где вы, ночлеги те!"
329,Вообще все в нашей стране как бы уменьшилось
330,"Налетел на дощатый топчан, проехался по не струганному полу, не понимаю, что происходит"
331,"– Но что-то, наверное, есть"
332,"Мы всех торгованов пугали, некоторых напугали до смерти"
333,"А кто тебя спас? Спрятал, выходил, поднял на ноги? Кто дал тебе работу?"
334,"Надо заметить, что Испания принадлежит к тем странам, где особенно часто встречаются эти рассеянные по всей Европе кочевники, цыгане"
335,"Ты с чертом связался, дружок"
336,"С течением времени эта беда прогрессировала, и теперь я слышу уже совсем неважно"
337,"в корпусах за глухими оградами,"
338,"Она так наклонялась, выпрямлялась и поворачивалась, что трудно было оторвать от нее взгляд"
339,"А для меня твоя война,"
340,- Для начала они решили снять комнату
341,Последствия не заставили себя долго ждать
